Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
3.0,2.0,650,"Minimart, Security, Parking, Playground, Lift",Kasturi Apartment (Bdr Tasik Permaisuri),,Leasehold,"Jalan Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",,17,,Apartment,1,Low,Bumi Lot,240000,Kuala Lumpur,5,369.2307692307692
3.0,2.0,1182,"Minimart, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Security, Sauna",Sierra Residences,GSD Land (M) Sdn Bhd,Freehold,"Jalan Fettes, Off Jalan Paya Terubong, Sungai Ara, Penang",2015.0,25,300,Condominium,2,High,Non Bumi Lot,500000,Penang,9,423.01184433164127
3.0,2.0,872,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kajang Service Apartment,,Freehold,"Kajang, Selangor, Kajang",,,,Apartment,2,Medium,Non Bumi Lot,341500,Kajang,12,391.6284403669725
1.0,2.0,450,"Multipurpose hall, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track, Club house",Semenyih Service Residences,,Freehold,"Jalan Semenyih Off Jalan Bandar Rinching, Semenyih, Selangor",,,,Condominium,1,Medium,Non Bumi Lot,230500,Selangor,11,512.2222222222222
2.0,2.0,1005,"Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool, Playground, Tennis Court, Squash Court, Jogging Track, Barbeque area, Sauna, Lift",Molek Regency,ALPHA ASTRAL REALTY SDN BHD,Freehold,"Jalan Molek 3/20, Taman Molek, Johor Bahru, Johor",2018.0,,1050,Condominium,,,Non Bumi Lot,515000,Johor,12,512.4378109452737
1.0,1.0,430,"Parking, Playground, Gymnasium, Sauna, Multipurpose hall, Security, Swimming Pool, Lift",Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Freehold,"Off Jalan Masai Baru, Plentong, Johor Bahru, Johor",2019.0,25,2003,Service Residence,1,Low,Non Bumi Lot,200000,Johor,8,465.1162790697674
3.0,2.0,1050,,Prima Regency Service Apartment,,Freehold,"Jalan Masai Baru, Plentong, Johor Bahru, Johor",,4,,Service Residence,,,Non Bumi Lot,298000,Johor,,283.8095238095238
3.0,2.0,986,"Club house, Parking, Security, Minimart, Lift, Sauna, Squash Court, Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Playground, Barbeque area",D'Inspire Residence @ Nusa Bestari,Khoo Soon Lee Realty Sdn. Bhd.,Freehold,"Taman Nusa Bestari, Skudai, Iskandar Puteri, Johor",2015.0,25,585,Apartment,2,High,Non Bumi Lot,418000,Johor,13,423.9350912778905
3.0,2.0,950,"Parking, Security, Lift",Plaza Indah,TLS Group,Freehold,"Jalan Sepakat Indah 1, Off Jalan Sungai Shua, Taman Sepakat Indah, Kajang, Selangor",,,309,Apartment,1,,Non Bumi Lot,220000,Selangor,3,231.57894736842104
3.0,2.0,1055,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Koi Prima,Masteron Group,Leasehold,"Jalan Puchong, Puchong, Selangor",,,,Condominium,2,,Non Bumi Lot,320000,Selangor,12,303.3175355450237
3.0,2.0,1017,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Savanna Executive Suites,Mah Sing Group Berhad,Freehold,"Lebuhraya KL-Serermban, Sungai Besi, Bangi, Selangor",,,,Service Residence,2,,Non Bumi Lot,280000,Selangor,12,275.31956735496556
3.0,2.0,720,"Parking, Sauna, Gymnasium, Jogging Track, Barbeque area, Security, Swimming Pool",The Heights Residence @ Taman Muzaffar Heights,Scientex Berhad,Leasehold,"Melaka, Ayer Keroh, Ayer Keroh, Melaka",2018.0,,160,Condominium,1,Medium,Non Bumi Lot,320000,Melaka,7,444.44444444444446
4.0,4.0,1474,"Parking, Playground, Multipurpose hall, Gymnasium, Lift, Barbeque area, Security, Swimming Pool, Jogging Track",The Riyang @ Happy Garden,Suntrack Development Sdn Bhd,Freehold,"Off Jalan Kuchai Maju, Happy Garden, Kuchai Lama, Kuala Lumpur",2020.0,35,212,Condominium,2,High,Non Bumi Lot,880000,Kuala Lumpur,9,597.0149253731344
2.0,1.0,788,,TT3 Soho,Ibraco Berhad,Leasehold,"Lorong 8, Jalan Tabuan Tranquility, Kuching, Sarawak",,,,Service Residence,,High,Non Bumi Lot,550000,Sarawak,,697.9695431472081
2.0,1.0,517,Lift,Taman Bukit Cheras,Titijaya Land Berhad,Freehold,"Selangor, Cheras South, Cheras, Selangor",,,,Apartment,,Medium,Non Bumi Lot,180000,Selangor,1,348.1624758220503
3.0,2.0,650,,Rumah Pangsa Impian (Saujana Putra),,Leasehold,"Off Jalan Saujana Putra, Bandar Saujana Putra, Kuala Langat, Selangor",,5,,Flat,,Low,Non Bumi Lot,200000,Selangor,,307.6923076923077
