Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
3.0,2.0,1069,"Gymnasium, Swimming Pool, Security, Squash Court, Barbeque area, Lift, Parking, Playground",The Oasis,Arte Corp,Leasehold,"Off Jalan Yeap Choy Ee, Gelugor, Penang",2010.0,38,,Condominium,1,,Non Bumi Lot,560000,Penang,8,523.8540692235734
3.0,2.0,1116,"Swimming Pool, Barbeque area, Gymnasium, Squash Court, Security, Parking, Lift",The Oasis,Arte Corp,Leasehold,"Off Jalan Yeap Choy Ee, Gelugor, Penang",2010.0,38,,Condominium,1,,Non Bumi Lot,550000,Penang,7,492.831541218638
3.0,2.0,1052,"Gymnasium, Squash Court, Barbeque area, Swimming Pool, Security, Lift, Parking",The Oasis,Arte Corp,Leasehold,"Off Jalan Yeap Choy Ee, Gelugor, Penang",2010.0,38,,Condominium,1,,Non Bumi Lot,560000,Penang,7,532.319391634981
4.0,2.0,1349,"Security, Swimming Pool, Parking, Lift, Playground, Gymnasium",Pearl Tower,,Leasehold,"Off Jalan Lintas, Taman BDC, Kota Kinabalu, Kota Kinabalu, Sabah",,,,Condominium,1,Low,Non Bumi Lot,600000,Sabah,6,444.7739065974796
3.0,2.0,850,"Parking, Playground, Gymnasium, Tennis Court, Security, Swimming Pool, Jogging Track, Lift",Putatan Platinum Apartment,Syarikat Perumahan Negara Berhad,Leasehold,"Jalan Putatan, Penampang, Sabah",,12,1012,Apartment,1,Low,Non Bumi Lot,255000,Sabah,8,300.0
3.0,2.0,1100,,Halaman Kristal,,Freehold,"Lengkok Free School, Jelutong, Penang",2001.0,31,360,Apartment,2,,Non Bumi Lot,510000,Penang,,463.6363636363636
3.0,2.0,1000,,Molek Ria,Berinda Properties Sdn Bhd,Freehold,"Persiaran Bumi Hijau, Johor Bahru, Johor",,,,Apartment,1,Medium,Non Bumi Lot,288000,Johor,,288.0
3.0,2.0,730,"Parking, Security, Lift",Desa Delima,,Leasehold,"Lorong Semarak Api Dua, Bandar Baru Farlim, Ayer Itam, Penang",1992.0,17,3,Apartment,1,,Non Bumi Lot,265000,Penang,3,363.013698630137
3.0,2.0,700,"Security, Parking, Lift",Desa Permata Ruby Block 17,,Freehold,"Lintang Paya Terubong 1, Ayer Itam, Penang",1995.0,11,100,Apartment,1,,Non Bumi Lot,270000,Penang,3,385.7142857142857
3.0,2.0,700,"Parking, Security, Lift",Desa Permata Amethyst Block 11,,Freehold,"Lintang Paya Terubong 4, Ayer Itam, Penang",1995.0,12,192,Apartment,,,Non Bumi Lot,280000,Penang,3,400.0
3.0,1.0,650,"Playground, Minimart",Taman Subang Perdana Flat,Bumimas Usaha Sdn Bhd / State Secretary Selangor,Leasehold,"Off Seksyen 2 Subang Perdana, Shah Alam, Selangor",,,,Flat,,High,Bumi Lot,190000,Selangor,2,292.3076923076923
2.0,2.0,855,"Parking, Minimart, Playground, Swimming Pool, Squash Court, Security, Lift, Sauna, Gymnasium",Impiria Residensi Bukit Tinggi Klang,WCT Holding Berhad,Freehold,"16A/KS06 Persiaran Batu Nilam, Bandar Bukit Tinggi 2, Klang, Selangor",2018.0,,403,Service Residence,1,Medium,Non Bumi Lot,530000,Selangor,9,619.8830409356725
4.0,3.0,1300,"Security, Gymnasium, Playground, Swimming Pool, Squash Court, Jogging Track, Parking, Tennis Court, Lift, Barbeque area, Multipurpose hall, Club house",LPR Freehold @ Cyberjaya,YanJian Group,Freehold,"Persiaran Sepang, Cyberjaya, Selangor",2021.0,29,550,Condominium,2,Medium,Non Bumi Lot,299000,Selangor,12,230.0
4.0,3.0,1300,"Club house, Security, Playground, Parking, Lift, Gymnasium, Sauna, Jogging Track, Tennis Court, Barbeque area, Swimming Pool, Minimart, Multipurpose hall, Squash Court",Cyber Residency,Country Heights Holdings Berhad,Freehold,"Jalan Cyber Suria, Off Persiaran Rimba Permai, Cyber Heights Villa , Cyberjaya, Selangor",,,,Condominium,2,Medium,Non Bumi Lot,299000,Selangor,14,230.0
3.0,2.0,1100,"Sauna, Minimart, Playground, Tennis Court, Barbeque area, Security, Swimming Pool, Gymnasium, Parking, Lift",Sri Putramas,Mayland,Freehold,"No. 1, Jalan Putramas 1, Off Jalan Kuching, Jalan Kuching, Kuala Lumpur",2004.0,25,1220,Condominium,1,Low,Non Bumi Lot,375000,Kuala Lumpur,10,340.90909090909093
3.0,2.0,1300,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Mont Kiara Pelangi,Sunrise,Freehold,"Jalan Kiara 1, Mont Kiara, Kuala Lumpur",1994.0,27,299,Condominium,,High,Non Bumi Lot,708000,Kuala Lumpur,14,544.6153846153846
3.0,2.0,1195,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Awana Puri Condominiums,NATWEST DEVELOPMENT SDN. BHD,Freehold,"Jalan 15/119, Taman Mutiara Barat, Cheras, Kuala Lumpur",,15,348,Condominium,,High,Non Bumi Lot,515000,Kuala Lumpur,14,430.9623430962343
3.0,2.0,755,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Ketumbar Heights,Mahajaya Berhad,Freehold,"Jalan 6/95B, Taman Cheras, Cheras, Kuala Lumpur",2010.0,14,336,Condominium,,Medium,Non Bumi Lot,250000,Kuala Lumpur,14,331.12582781456956
3.0,2.0,700,"Minimart, Playground, Parking, Barbeque area",Pangsapuri Orchid,,Freehold,"Taman Puchong Prima, Puchong, Selangor",,5,,Apartment,,Medium,Bumi Lot,220000,Selangor,4,314.2857142857143
3.0,2.0,850,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track",The Clio 2 Residences,IOI Properties Group Berhad,Freehold,"Lebuh IRC, Putrajaya, Putrajaya",,,,Service Residence,2,,Non Bumi Lot,458000,Putrajaya,11,538.8235294117648
3.0,2.0,1100,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor » Serdang,,Freehold,"Selangor » Serdang, Selangor, Serdang",,,,Condominium,2,Medium,Non Bumi Lot,392000,Serdang,14,356.3636363636364
3.0,2.0,760,"Security, Parking, Playground",Astana Alam,,Leasehold,"Off Persiaran Puncak Alam 6, Bandar Puncak Alam, Puncak Alam, Selangor",,,,Apartment,1,High,Bumi Lot,150000,Selangor,3,197.3684210526316
3.0,2.0,1005,"Parking, Security, Minimart",Pangsapuri Mawar (Sentul),,Leasehold,"Jalan 7/48A, Bandar Baru Sentul, Sentul, Kuala Lumpur",,23,,Condominium,,Medium,Bumi Lot,360000,Kuala Lumpur,3,358.2089552238806
3.0,2.0,762,,Pangsapuri Seri Proton,,Freehold,"Jalan Samarinda 5, Taman Kandis, Klang, Selangor",,,,Apartment,1,Medium,Non Bumi Lot,210000,Selangor,,275.59055118110234
3.0,2.0,1200,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Sauna, Jogging Track, Multipurpose hall",Le Vista Residence,,Freehold,"Jalan Cheras, Kuala Lumpur, Cheras",,,,Condominium,2,Medium,Non Bumi Lot,630000,Cheras,10,525.0
3.0,2.0,1300,"Club house, Security, Playground, Gymnasium, Squash Court, Jogging Track, Minimart, Swimming Pool, Tennis Court, Sauna, Parking, Barbeque area, Lift, Multipurpose hall",Mont Kiara Pelangi,Sunrise,Freehold,"Jalan Kiara 1, Mont Kiara, Kuala Lumpur",1994.0,27,299,Condominium,1,Medium,Non Bumi Lot,708000,Kuala Lumpur,14,544.6153846153846
2.0,1.0,581,"Playground, Minimart",Bbu Susur Barli Flat,,Leasehold,"Tampoi, Johor Bahru, Johor, Tampoi, Johor",,,,Flat,,Low,Bumi Lot,150000,Johor,2,258.1755593803787
3.0,1.0,646,,Pangsapuri Sri Inai,,Leasehold,"Pandan Indah, Pandan Indah, Kuala Lumpur",,,,Apartment,,Medium,Bumi Lot,210000,Kuala Lumpur,,325.07739938080493
3.0,2.0,982,"Gymnasium, Playground, Swimming Pool, Minimart, Security, Parking, Lift",The Gardens (Penampang),SC Land Group,Leasehold,"Lorong Taman Formosa 2, Taman Farmosa, Penampang, Sabah",2017.0,,,Condominium,2,High,Non Bumi Lot,550000,Sabah,7,560.081466395112
2.0,2.0,700,"Playground, Minimart",Flat Taman Perling,I&P Group,Leasehold,"Taman Perling, Perling, Johor",,,,Apartment,,High,Bumi Lot,140000,Johor,2,200.0
4.0,2.0,1470,"Gymnasium, Jogging Track, Security, Sauna, Parking, Playground, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Club house",QuayWest Residence,Asia Green Group,Freehold,"Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang",2021.0,24,1235,Condominium,2,Medium,Non Bumi Lot,930000,Penang,11,632.6530612244898
2.0,1.0,520,"Playground, Minimart",Bandar Baru Uda (Johor Bahru),,Leasehold,"Bandar Baru Uda, Johor Bahru, Johor",,,,Flat,,Medium,Bumi Lot,175000,Johor,2,336.53846153846155
3.0,2.0,1017,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court, Squash Court",Savanna Executive Suites,Mah Sing Group Berhad,Freehold,"Lebuhraya KL-Serermban, Sungai Besi, Bangi, Selangor",,,,Service Residence,2,Medium,Non Bumi Lot,365000,Selangor,12,358.8987217305801
3.0,2.0,1044,"Lift, Security, Playground, Parking, Gymnasium, Minimart, Swimming Pool",Sri Akasia,,Leasehold,"Taman Tampoi Indah, Johor Bahru, Johor",2005.0,,698,Apartment,,Low,Bumi Lot,360000,Johor,7,344.82758620689657
4.0,4.0,1364,"Security, Swimming Pool, Barbeque area, Sauna, Multipurpose hall, Playground, Gymnasium, Parking, Lift, Minimart, Jogging Track",Residence 8,Ong Chong Realty,Freehold,"Jalan Sri Jati 3, Taman Sri Jati, Old Klang Road, Kuala Lumpur",2013.0,23,308,Condominium,2,High,Non Bumi Lot,685000,Kuala Lumpur,11,502.19941348973606
3.0,2.0,883,"Parking, Security, Lift, Playground, Jogging Track",APARTMENT PR1MA PRESINT 11 (Apartment PR1MA),,Leasehold,"Jalan P11E/5, Presint 11, Putrajaya, Putrajaya",,,,Apartment,1,High,Bumi Lot,310000,Putrajaya,5,351.0758776896942
2.0,1.0,550,Lift,Macallum Street Ghaut PDC Flat,The Penang Development Corporation,Leasehold,"Off Lebuhraya Tun Dr. Lim Chong Eu, Georgetown, Penang",,,,Flat,,,Non Bumi Lot,210000,Penang,1,381.8181818181818
3.0,2.0,1000,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor » Serdang,,Freehold,"Selangor » Serdang, Selangor, Serdang",,,,Condominium,2,Medium,Non Bumi Lot,390000,Serdang,14,390.0
2.0,1.0,750,"Parking, Security, Lift, Playground",Plaza Sinar Apartment,,Freehold,"Off Jalan Lang Emas, Taman Sri Sinar, Kepong, Kepong, Kuala Lumpur",,,,Apartment,1,Medium,Non Bumi Lot,279000,Kuala Lumpur,4,372.0
3.0,1.0,657,,Pangsapuri Seroja @ Setia Alam,,Freehold,"U13/50, Seksyen U13, Shah Alam, Selangor",,5,,Apartment,,High,Bumi Lot,225000,Selangor,,342.4657534246575
3.0,2.0,861,"Security, Minimart, Playground, Jogging Track",Larkin Idaman Apartment,,Leasehold,"Off Jalan Dato Jaafar, Larkin Idaman, Johor Bahru, Johor",2009.0,13,,Apartment,,Medium,Bumi Lot,230000,Johor,4,267.13124274099886
2.0,1.0,936,"Playground, Minimart, Gymnasium, Jogging Track, Lift, Multipurpose hall, Club house, Parking, Security",Vista Perdana (Butterworth),,Leasehold,"Off Jalan Bagan Jermal, Kampung Gajah, Butterworth, Butterworth, Penang",,,,Apartment,1,High,Non Bumi Lot,298000,Penang,9,318.37606837606836
4.0,3.0,1800,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Minimart, Barbeque area, Multipurpose hall, Jogging Track",Olive Tree Residences,Harta Intan Construction Sdn. Bhd.,Freehold,"Jalan Mahsuri, Bayan Baru, Penang",1993.0,23,91,Condominium,2,Medium,Non Bumi Lot,1300000,Penang,11,722.2222222222222
3.0,2.0,1100,"Swimming Pool, Playground, Multipurpose hall, Gymnasium, Barbeque area, Sauna, Parking, Security, Lift, Minimart, Club house",Penaga @ Taman Raintree,Impiana Land & Development Sdn Bhd,Leasehold,"Jalan Raintree Utama, Batu Caves, Selangor",2012.0,,342,Condominium,1,High,Non Bumi Lot,465000,Selangor,11,422.72727272727275
3.0,2.0,800,,Taman Sentosa Perdana,Poh & Chen Development,Freehold,"Taman Sentosa Perdana, Klang, Selangor",,4,,Flat,1,High,Non Bumi Lot,85000,Selangor,,106.25
4.0,5.0,1968,"Playground, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Squash Court, Jogging Track, Lift, Parking",Sandilands @ Jelutong,BHL Group of Companies,Freehold,"Off Lebuhraya Tun Dr. Lim Chong Eu, Jelutong, Penang",2020.0,,803,Condominium,2,High,Non Bumi Lot,1100000,Penang,11,558.9430894308944
3.0,2.0,1050,"Parking, Playground, Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Zen 6,Asia Green Group,Freehold,"Persiaran Bayan Mutiara, Gelugor, Penang",2023.0,46,730,Condominium,3,Medium,Non Bumi Lot,650000,Penang,10,619.047619047619
3.0,2.0,1492,"Lift, Multipurpose hall, Playground, Gymnasium, Security, Sauna, Parking, Barbeque area, Swimming Pool, Jogging Track",Iconic Skies,Iconic Group of Companies,Freehold,"Off Jalan Paya Terubong, Relau, Relau, Penang",2017.0,37,299,Condominium,2,Medium,Non Bumi Lot,710000,Penang,10,475.87131367292227
2.0,2.0,900,"Parking, Security, Lift, Swimming Pool, Gymnasium",,,Leasehold,,,,,Condominium,1,Medium,Non Bumi Lot,338000,,5,375.55555555555554
3.0,2.0,1522,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium",Kristal,,Leasehold,"Jalan Kepayan, Kota Kinabalu, Sabah",,,,Condominium,1,Low,Non Bumi Lot,700000,Sabah,6,459.9211563731932
3.0,2.0,1000,"Barbeque area, Club house, Security, Swimming Pool, Parking, Lift",One Sulaman,,Leasehold,"Jalan Sulaman, Kota Kinabalu, Sabah, Kota Kinabalu, Sabah",,,109,Condominium,1,Medium,Non Bumi Lot,448000,Sabah,6,448.0
3.0,2.0,1000,"Parking, Security, Gymnasium, Tennis Court, Minimart, Playground, Swimming Pool, Lift, Multipurpose hall, Barbeque area, Sauna",The Rise Collection 3,Zubicon Sdn. Bhd.,Freehold,"Jln Dr. Wu Lien Teh, Georgetown, Penang",2020.0,,,Apartment,1,Medium,Non Bumi Lot,430000,Penang,11,430.0
3.0,2.0,700,"Parking, Gymnasium, Swimming Pool, Lift, Security, Playground, Jogging Track",Taman Kristal,,Freehold,"Gerbang Mount Eskine, Tanjong Tokong, Penang",1999.0,21,520,Apartment,1,High,Non Bumi Lot,318000,Penang,7,454.2857142857143
3.0,2.0,750,"Parking, Security, Lift, Swimming Pool, Playground",Taman Kristal,,Freehold,"Gerbang Mount Eskine, Tanjong Tokong, Penang",1999.0,21,520,Apartment,1,,Non Bumi Lot,280000,Penang,5,373.3333333333333
3.0,2.0,654,"Parking, Security, Lift",Taman Bukit Erskine,Ivory Properties Group Sdn Bhd,Freehold,"Off Lebuhraya Halia, Mount Erskine, Tanjong Tokong, Penang",2014.0,38,554,Apartment,1,,Non Bumi Lot,285000,Penang,3,435.7798165137615
3.0,2.0,955,,Perdana Villa (Klang),,Freehold,"Jalan Temenggung 37, Taman Sentosa Perdana, Klang, Selangor",,9,,Apartment,,Low,Non Bumi Lot,310000,Selangor,,324.60732984293196
1.0,2.0,575,"Security, Minimart, Gymnasium, Playground, Parking, Tennis Court, Swimming Pool, Lift",The Domain @ NeoCyber,Laketown Sdn Bhd (EMKAY Group),Freehold,"Lingkaran Cyber Point Barat, Off Persiaran Ceria, Cyberjaya, Selangor",2009.0,,272,Service Residence,1,Medium,Non Bumi Lot,225000,Selangor,8,391.30434782608694
4.0,2.0,1313,"Barbeque area, Parking, Swimming Pool, Playground, Security, Minimart, Gymnasium, Sauna, Club house",Platinum Lake PV 13,Platinum Victory Group Sdn. Bhd.,Leasehold,"Jalan Danau Saujana 1, Danau Kota,, Setapak, Kuala Lumpur",,,,Condominium,3,High,Non Bumi Lot,490000,Kuala Lumpur,9,373.1911652703732
3.0,2.0,645,Parking,Taman Kota Permai,,Freehold,"Taman Kota Permai, Bukit Mertajam, Penang",,,,Flat,,Medium,Non Bumi Lot,105000,Penang,1,162.7906976744186
2.0,1.0,484,"Playground, Barbeque area, Minimart, Parking",Taman Asa Jaya,,Freehold,"Off Jalan Semenyih, Kajang, Selangor",,,,Apartment,,Low,Bumi Lot,95000,Selangor,4,196.28099173553719
3.0,2.0,969,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Putrajaya » Putrajaya,,Freehold,"Putrajaya » Putrajaya, Putrajaya, Putrajaya",,,,Condominium,2,High,Bumi Lot,460000,Putrajaya,14,474.7162022703818
3.0,2.0,900,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Residensi Armani @ Bukit Lanjan,,Freehold,"Jalan Bukit Lanjan, Damansara Perdana, Selangor",,,,Condominium,,Medium,Malay Reserved,498000,Selangor,10,553.3333333333334
3.0,2.0,1100,,The Pines Residence,,Leasehold,"Jalan Paya Mengkuang, Gelang Patah, Johor",,,,Apartment,,Medium,Non Bumi Lot,295000,Johor,,268.1818181818182
2.0,2.0,1268,"Squash Court, Sauna, Jogging Track, Gymnasium, Security, Playground, Tennis Court, Parking, Swimming Pool, Lift, Multipurpose hall",Waikiki Condominium,,Leasehold,"Jalan Tanjung Aru, Kota Kinabalu, Sabah",,,,Condominium,1,Low,Non Bumi Lot,598000,Sabah,11,471.608832807571
4.0,2.0,1365,"Playground, Tennis Court, Parking, Gymnasium, Swimming Pool, Jogging Track, Security, Lift",Fairway Mansions,,Leasehold,"Jalan Bundusan, Kota Kinabalu, Sabah",,,105,Condominium,1,Medium,Non Bumi Lot,480000,Sabah,8,351.64835164835165
3.0,2.0,2303,"Parking, Security, Swimming Pool, Playground, Gymnasium, Jogging Track, Club house",Taman D' Utama Baru,,Freehold,"Taman D' Utama Baru, Johor Bahru, Johor",,,,Townhouse Condo,1,Low,Non Bumi Lot,450000,Johor,7,195.39730785931394
2.0,2.0,1050,"Security, Minimart, Squash Court, Playground, Swimming Pool, Gymnasium, Parking, Lift",Suria Jelutong,Sunsuria Berhad,Freehold,"Jalan Bazar U8/99, Bukit Jelutong, Shah Alam, Selangor",2014.0,13,666,Service Residence,2,Low,Non Bumi Lot,530000,Selangor,8,504.76190476190476
2.0,2.0,829,,Brand New Condominium,,Freehold,"Precinct 11, Putrajaya, Putrajaya",,,,Condominium,2,Medium,Non Bumi Lot,399000,Putrajaya,,481.3027744270205
1.0,1.0,450,"Barbeque area, Swimming Pool, Gymnasium, Parking, Security, Sauna, Multipurpose hall, Playground, Lift, Minimart, Club house, Tennis Court, Jogging Track, Squash Court",CyberSquare SOHO,Binastra Land Sdn. Bhd.,Freehold,"Jalan Teknokrat 4, Cyber 5, Cyberjaya, Selangor",2017.0,38,1424,Service Residence,1,Medium,Non Bumi Lot,190000,Selangor,14,422.22222222222223
3.0,2.0,1144,"Swimming Pool, Multipurpose hall, Playground, Security, Minimart, Sauna, Parking",Impian Senibong Residences,TRC Synergy Berhad,Leasehold,"Jalan Persiaran Senibong, Masai, Johor",,,243,Service Residence,1,High,Non Bumi Lot,489000,Johor,7,427.4475524475524
2.0,1.0,646,,MJC SOHO,,Leasehold,"Jalan Batu Kawa, Kuching, Sarawak",,,,Apartment,1,,Non Bumi Lot,130000,Sarawak,,201.23839009287926
3.0,2.0,1118,"Multipurpose hall, Swimming Pool, Jogging Track, Security, Squash Court",Sutera Pines,Smart Niche Sdn Bhd (Joint Venture between Rivertree Group and Imaxland Sdn Bhd),Freehold,"Jalan Palma Utama, Twin Palms, Bandar Sungai Long, Kajang, Selangor",2017.0,20,424,Condominium,2,Low,Non Bumi Lot,408000,Selangor,5,364.93738819320214
3.0,2.0,1508,,Radiant Maisonette,,Leasehold,"Lorong Ranggung Batek, Off Jalan Tuaran, Likas, Penampang, Sabah",,,,Condominium,1,Low,Non Bumi Lot,528000,Sabah,,350.13262599469493
4.0,3.0,2250,"Tennis Court, Squash Court, Sauna, Parking, Playground, Swimming Pool, Jogging Track, Gymnasium, Security",Waikiki Condominium,,Leasehold,"Jalan Tanjung Aru, Kota Kinabalu, Sabah",,,,Condominium,1,Medium,Non Bumi Lot,980000,Sabah,9,435.55555555555554
2.0,2.0,850,"Barbeque area, Swimming Pool, Playground, Multipurpose hall",i-Suite @ i-City,i-Berhad,Freehold,"Off Jalan Plumbum 7/102, i-City, I-City, Selangor",2017.0,36,498,Service Residence,,Medium,Non Bumi Lot,600000,Selangor,4,705.8823529411765
2.0,1.0,750,Minimart,Hsiang Garden Flat,,Freehold,"Mile 1.5, Leila Road. Bandar Hsiang Garden.,<br><br>, Sabah, Sandakan",,,,Flat,,Low,Non Bumi Lot,62000,Sandakan,1,82.66666666666667
3.0,2.0,750,"Tennis Court, Swimming Pool, Barbeque area, Playground, Gymnasium, Parking, Security, Sauna, Lift, Minimart, Multipurpose hall",U Garden Resort Condominium,U Garden Resort Condominium,Freehold,"No. 50A, Persiaran Minden 1, Gelugor, Penang",1997.0,28,422,Condominium,1,Medium,Non Bumi Lot,340000,Penang,11,453.3333333333333
3.0,2.0,800,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","4km to KLCC Studio & Duplex, High ROI, Next to LRT&Mall",,Leasehold,"Jalan Jelatek, Kuala Lumpur, KLCC",,,,Condominium,2,Medium,Non Bumi Lot,230000,KLCC,14,287.5
3.0,3.0,1050,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Pintasan Segambut,,Leasehold,"Jalan kepong, Bandar Baru Kepong, Kuala Lumpur, Kepong",,,,Condominium,2,Low,Non Bumi Lot,420000,Kepong,14,400.0
2.0,1.0,657,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",3 Elements,Titijaya Land Berhad,Leasehold,"Jalan Prima Tropika, Taman Prima Tropika, Seri Kembangan, Selangor",,,,Studio,1,High,Non Bumi Lot,335000,Selangor,9,509.89345509893457
3.0,2.0,1121,"Swimming Pool, Jogging Track, Playground, Gymnasium, Parking, Multipurpose hall",Suria Putra,Suria Land Development Sdn Bhd,Freehold,"Jalan BRP 2/1, Bukit Rahman Putra, Sungai Buloh, Selangor",2018.0,25,486,Service Residence,,,Non Bumi Lot,438000,Selangor,6,390.72256913470113
2.0,2.0,802,"Parking, Minimart",Taman Yeng seng,,Freehold,"Batu 2.5, jalan lama, Sabah, Sandakan",,,,Flat,3,High,Non Bumi Lot,110000,Sandakan,2,137.1571072319202
3.0,2.0,750,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Flat PKNS Seksyen 7 Shah Alam,Perbadanan Kemajuan Negeri Selangor (PKNS),Leasehold,"Jalan Plumbum, Section 7, Shah Alam, Selangor",,5,,Flat,,Low,Non Bumi Lot,240000,Selangor,6,320.0
1.0,1.0,484,"Tennis Court, Jogging Track, Gymnasium, Multipurpose hall, Playground, Swimming Pool, Sauna, Security, Minimart",Palazio,Malaysia Land Properties Sdn. Bhd.,Freehold,"Jalan Mutiara Emas 9/23, Taman Mount Austin, Johor Bahru, Johor",2013.0,,1160,Service Residence,,Low,Non Bumi Lot,225000,Johor,9,464.87603305785126
3.0,2.0,1254,"Playground, Security, Gymnasium, Parking, Lift, Swimming Pool, Barbeque area, Multipurpose hall",Sierra East,Chong Company Sdn. Bhd.,Freehold,"Off Persiaran Paya Terubong 4, Bukit Jambul, Bukit Jambul, Penang",2017.0,21,256,Condominium,2,High,Non Bumi Lot,570000,Penang,8,454.54545454545456
3.0,2.0,550,,Seksyen 2 Wangsa Maju Flat,,Leasehold,"Seksyen 2, Wangsa Maju, Wangsa Maju, Kuala Lumpur",,,,Flat,,High,Non Bumi Lot,175000,Kuala Lumpur,,318.1818181818182
3.0,2.0,948,"Parking, Lift, Security, Minimart, Club house, Playground, Gymnasium, Multipurpose hall, Squash Court, Jogging Track",Sentul Village Mercury Service Apartment,UOA Group,Freehold,"Off Jalan Sentul Pasar, Sentul, Kuala Lumpur",2017.0,26,462,Service Residence,1,Medium,Non Bumi Lot,415000,Kuala Lumpur,10,437.76371308016877
3.0,2.0,1012,"Gymnasium, Barbeque area, Security, Minimart, Sauna, Playground, Swimming Pool, Parking, Lift, Multipurpose hall",Amara Service Residences,Jaya Megah Development Sdn Bhd,Freehold,"Jalan Raintree Utama, Batu Caves, Selangor",2014.0,23,744,Service Residence,,Medium,Non Bumi Lot,300000,Selangor,10,296.44268774703556
3.0,2.0,815,,Metrocity Condominium,,Leasehold,"Metrocity Commercial Presint, Q309, 93050 Kuching, Sarawak, Sarawak, Kuching",,,,Condominium,,,Non Bumi Lot,446400,Kuching,,547.7300613496933
3.0,2.0,771,,Sienna Residence,,Leasehold,"Jalan Matang, Petra Jaya, Kuching, Sarawak",,4,496,Apartment,2,,Non Bumi Lot,280000,Sarawak,,363.16472114137486
3.0,2.0,750,,De Cendana,,Freehold,"Persiaran Setia Makmur, Setia Alam, Selangor",,,,Apartment,1,,Bumi Lot,270000,Selangor,,360.0
3.0,2.0,1088,"Playground, Swimming Pool, Gymnasium, Sauna, Parking, Security, Lift, Multipurpose hall, Barbeque area",Parkland Residence @ Sungai Melaka,Parkland Group,Freehold,"Jalan Tun Perak, Bukit Baru, Melaka",2020.0,,809,Service Residence,,,Non Bumi Lot,498000,Melaka,9,457.72058823529414
3.0,2.0,1044,,Sri Akasia,,Leasehold,"Taman Tampoi Indah, Johor Bahru, Johor",2005.0,,698,Apartment,1,Medium,Bumi Lot,269000,Johor,,257.66283524904213
3.0,2.0,1000,"Playground, Jogging Track, Parking, Security, Barbeque area",Desa Anthurium,,Freehold,"Off Jalan Pahang, Tanah Rata, Cameron Highlands, Pahang",,,,Condominium,1,Low,Non Bumi Lot,320000,Pahang,5,320.0
3.0,2.0,1000,"Security, Swimming Pool, Gymnasium, Parking, Playground, Lift, Barbeque area, Minimart, Club house",Lido Four Seasons Residence,,Freehold,"35, Lorong Raffelesia 1, Kota Kinabalu, Sabah",2015.0,,,Condominium,1,Low,Non Bumi Lot,465000,Sabah,9,465.0
3.0,2.0,850,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Angkasa Apartment,Bina Puri Holdings Bhd,Leasehold,"Jalan Darau, Kampung Darau, Kota Kinabalu, Sabah",,,,Apartment,1,Low,Non Bumi Lot,270000,Sabah,11,317.6470588235294
